#,Name,Route,Status,T1 Sent Date,T1 Response,T2 Sent Date,T2 Response,T3 Sent Date,T3 Response
1,SBG Partners,Email: contact@sbg.vc (only verified email in playbook),Not started,,,,,,
2,Backbeat,Official site contact / application form,Not started,,,,,,
3,Mindset Ventures,Official site contact form + LinkedIn partner outreach,Not started,,,,,,
4,Decile Access / Joker Deck Ventures,Decile Group network application on official site; LinkedIn for the Joker Deck GP,Not started,,,,,,
5,Amplify Music Ventures / Amplify.LA,Application form on official site; warm intros via portfolio founders on LinkedIn,Not started,,,,,,
6,Jukebox,Official site contact / partnerships page,Not started,,,,,,
7,Prospect 7,,Not started,,,,,,
8,Prospect 8,,Not started,,,,,,
9,Prospect 9,,Not started,,,,,,
10,Prospect 10,,Not started,,,,,,
11,Prospect 11,,Not started,,,,,,
12,Prospect 12,,Not started,,,,,,
