priority,name,affiliation,lane,public_fit_signal,recommended_ask,outreach_route,public_reference,note
A,Lucas Cantor Santiago,Mindset Ventures MusicTech,specialist,Music technology fund; public fit for tools improving human creativity,25000–75000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://mindset.ventures/,Prospect only; public fit is not a commitment to invest.
A,Conor Healy,Yamaha Music Innovations,strategic,Music-industry investment role with direct audio and creator-tool adjacency,50000–150000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.yamaha.com/,Prospect only; public fit is not a commitment to invest.
A,Andrew Kahn,Crush Ventures,specialist,"Publicly associated with investments in Splice, Audioshake, Sound.xyz, and creator tools",50000–150000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://crushmusic.com/,Prospect only; public fit is not a commitment to invest.
A,Matt Pincus,MUSIC,strategic,Music business operator and investor with direct industry network,50000–150000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.music.com/,Prospect only; public fit is not a commitment to invest.
A,Stefan Blom,EQL Partners,strategic,"Public music, audio, media, and platform operating background",50000–150000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.eqlpartners.com/,Prospect only; public fit is not a commitment to invest.
A,Ben Matthews,Night Ventures,specialist,Creator-economy fund with publicly stated creator distribution focus,25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://night.co/,Prospect only; public fit is not a commitment to invest.
A,Reed Duchscher,Night Ventures / Night Media,strategic,Creator-economy operator and investor with creator distribution access,25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://night.co/,Prospect only; public fit is not a commitment to invest.
A,Li Jin,Atelier Ventures,specialist,Creator-economy investor and founder of a creator-focused fund,25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.atelierventures.co/,Prospect only; public fit is not a commitment to invest.
A,Alexis Ohanian,Seven Seven Six,angel,"Early-stage investor with consumer, creator, and internet platform relevance",25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://sevensevensix.com/,Prospect only; public fit is not a commitment to invest.
A,Elizabeth Yin,Hustle Fund,pre-seed,Pre-seed investor with small-check founder access,25000–75000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.hustlefund.vc/,Prospect only; public fit is not a commitment to invest.
A,Eric Bahn,Hustle Fund,pre-seed,Pre-seed investor and operator focused on early founder rounds,25000–75000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.hustlefund.vc/,Prospect only; public fit is not a commitment to invest.
B,Josh Kopelman,First Round,pre-seed,Early-stage software investor; relevant if the workflow is framed as infrastructure,100000–250000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.firstround.com/,Prospect only; public fit is not a commitment to invest.
B,Nikhil Basu Trivedi,Footwork,consumer,Consumer software and marketplace investor; creator adoption angle,50000–150000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.footwork.vc/,Prospect only; public fit is not a commitment to invest.
B,Aileen Lee,Cowboy Ventures,consumer,Consumer and software investor; creator workflow positioning may fit,100000–250000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.cowboy.vc/,Prospect only; public fit is not a commitment to invest.
B,Andrew Chen,Andreessen Horowitz,consumer/AI,Consumer network-effects and creator-platform investor,250000–500000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://a16z.com/,Prospect only; public fit is not a commitment to invest.
B,Connie Chan,Andreessen Horowitz,consumer,Consumer and marketplace investor with social/product distribution lens,250000–500000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://a16z.com/,Prospect only; public fit is not a commitment to invest.
B,Olivia Moore,Andreessen Horowitz,consumer/AI,Publicly focused on consumer applications of AI and new behavior,100000–250000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://a16z.com/,Prospect only; public fit is not a commitment to invest.
C,Brian Singerman,Founders Fund,AI/software,Early-stage technology investor; fit requires a sharper MLK defensibility story,250000–500000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://foundersfund.com/,Prospect only; public fit is not a commitment to invest.
B,Kanyi Maqubela,Kindred Ventures,seed,Seed investor with consumer and future-of-work adjacency,50000–150000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.kindredventures.com/,Prospect only; public fit is not a commitment to invest.
B,Mark Suster,Upfront Ventures,seed,Consumer and enterprise software investor with Los Angeles network,100000–250000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://upfront.com/,Prospect only; public fit is not a commitment to invest.
B,M.G. Siegler,Google Ventures,AI/consumer,Technology investor with consumer product and platform relevance,100000–250000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.gv.com/,Prospect only; public fit is not a commitment to invest.
B,Josh Elman,Greylock,consumer,Consumer product and social software investor,50000–150000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://greylock.com/,Prospect only; public fit is not a commitment to invest.
B,Kevin Rose,True Ventures,consumer,Product and consumer technology angel/investor profile,25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.true-ventures.com/,Prospect only; public fit is not a commitment to invest.
B,Jeff Clavier,Uncork Capital,seed,Seed investor in software and consumer technology,50000–150000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://uncork.com/,Prospect only; public fit is not a commitment to invest.
B,Michael Dearing,Harrison Metal,seed,Early-stage software investor; strong for product and operating discipline,50000–150000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.harrisonmetal.com/,Prospect only; public fit is not a commitment to invest.
B,Ashton Kutcher,Sound Ventures,AI/consumer,Public AI and consumer-tech investment platform,50000–250000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://soundventures.com/,Prospect only; public fit is not a commitment to invest.
A,Guy Oseary,Sound Ventures,media/consumer,Music and media operator with technology investment platform,50000–250000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://soundventures.com/,Prospect only; public fit is not a commitment to invest.
C,Ron Conway,SV Angel,angel,Longstanding angel network; best reached by warm introduction,25000–75000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://svangel.com/,Prospect only; public fit is not a commitment to invest.
C,Naval Ravikant,AngelList,angel,Early-stage technology angel; direct founder-to-founder outreach route,25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.angellist.com/,Prospect only; public fit is not a commitment to invest.
C,Chris Sacca,Lowercarbon / Lowercase,angel,High-profile early-stage technology investor; strategic fit is selective,50000–250000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://lowercarboncapital.com/,Prospect only; public fit is not a commitment to invest.
C,Mark Cuban,Maverick,strategic,"Public software, media, and entrepreneur investment profile",50000–250000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.maverick.com/,Prospect only; public fit is not a commitment to invest.
A,Nasir Jones,QueensBridge Venture Partners,music/angel,Publicly associated with technology and creator investments through QueensBridge,25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.queensbridge.com/,Prospect only; public fit is not a commitment to invest.
A,Troy Carter,Cross Culture Ventures,music/strategic,Music-industry operator and technology investor with creator access,50000–150000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.crossculturevc.com/,Prospect only; public fit is not a commitment to invest.
B,Snoop Dogg,Casa Verde Capital,creator/consumer,Public technology investment platform and creator-brand reach,25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.casaverdecapital.com/,Prospect only; public fit is not a commitment to invest.
B,Serena Williams,Serena Ventures,consumer,Consumer and founder-focused investment platform,25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.serenaventures.com/,Prospect only; public fit is not a commitment to invest.
B,Kevin Durant,Thirty Five Ventures,creator/consumer,"Sports, media, and creator investment platform",25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://thirtyfiveventures.com/,Prospect only; public fit is not a commitment to invest.
B,Rich Kleiman,Thirty Five Ventures,creator/consumer,Operating partner with media and creator distribution relevance,25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://thirtyfiveventures.com/,Prospect only; public fit is not a commitment to invest.
A,will.i.am,i.am+,AI/music,Public technology and AI/music innovation profile,50000–150000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://will.i.am/,Prospect only; public fit is not a commitment to invest.
C,Daniel Ek,Prima Materia,music/AI,Spotify founder with direct music-platform and AI adjacency,100000–500000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://primamateria.vc/,Prospect only; public fit is not a commitment to invest.
C,Jimmy Iovine,music/technology operator,strategic,"Audio, music, and consumer hardware operating network; warm intro required",100000–500000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.apple.com/,Prospect only; public fit is not a commitment to invest.
A,Steve Stoute,UnitedMasters / Translation,music/creator,Creator and music-business operator with distribution relevance,50000–150000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://unitedmasters.com/,Prospect only; public fit is not a commitment to invest.
B,Chamillionaire,angel investor,creator/technology,Publicly known technology angel and founder-adjacent investor,25000–75000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.linkedin.com/,Prospect only; public fit is not a commitment to invest.
B,Justin Kan,Goat Capital,creator/consumer,Creator and consumer startup investor,25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://goatcapital.com/,Prospect only; public fit is not a commitment to invest.
B,Ryan Hoover,Product Hunt / Weekend Fund,consumer,Early-stage consumer product investor and founder network,25000–75000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.weekend.fund/,Prospect only; public fit is not a commitment to invest.
B,Garry Tan,Y Combinator,pre-seed/AI,Pre-seed technology ecosystem and AI software access,50000–250000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.ycombinator.com/,Prospect only; public fit is not a commitment to invest.
B,David Cohen,Techstars,pre-seed,Accelerator and early-stage investor with broad mentor network,25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.techstars.com/,Prospect only; public fit is not a commitment to invest.
C,Arjun Sethi,Tribe Capital,AI/software,Technology investor; fit depends on growth and data-room readiness,100000–500000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://tribecap.co/,Prospect only; public fit is not a commitment to invest.
C,Chamath Palihapitiya,Social Capital,AI/software,Larger technology investor; requires materially stronger revenue proof,250000–1000000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.socialcapital.com/,Prospect only; public fit is not a commitment to invest.
B,Bill Tai,angel investor,AI/consumer,Public early-stage angel and startup network profile,25000–100000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.linkedin.com/,Prospect only; public fit is not a commitment to invest.
C,Elad Gil,angel investor,AI/software,Public AI and software angel profile; high bar and warm intro preferred,100000–500000,Warm introduction preferred; otherwise public LinkedIn or firm contact page,https://www.eladgil.com/,Prospect only; public fit is not a commitment to invest.
